net,scheme,p,frame_len,latency,latency_p95,service
0,rand_st,0.2,19.0,27.50050535678189,50.0,1.0
1,rand_st,0.2,15.0,24.362530915086563,49.0,1.0
2,rand_st,0.2,17.0,26.45498489425982,50.0,1.0
3,rand_st,0.2,16.0,25.01511129262814,44.0,1.0
4,rand_st,0.2,16.0,30.16797741480137,59.0,1.0
5,rand_st,0.2,17.0,25.49296070603068,45.0,1.0
6,rand_st,0.2,19.0,30.39387877575515,56.0,1.0
7,rand_st,0.2,15.0,21.426948051948052,43.0,1.0
8,rand_st,0.2,21.0,23.1452231872349,42.0,1.0
9,rand_st,0.2,18.0,21.654247697031728,46.0,1.0
10,rand_st,0.2,17.0,26.078191814294442,46.0,1.0
11,rand_st,0.2,19.0,27.235569105691056,59.0,1.0
12,rand_st,0.2,18.0,25.524825523429712,56.0,1.0
13,rand_st,0.2,15.0,25.227799227799228,53.0,1.0
14,rand_st,0.2,17.0,21.504394726328407,37.0,1.0
15,rand_st,0.2,15.0,23.0919175911252,44.0,1.0
16,rand_st,0.2,16.0,23.88032909498878,45.0,1.0
17,rand_st,0.2,20.0,28.748209018120523,63.0,1.0
18,rand_st,0.2,14.0,21.491274350649352,41.0,1.0
19,rand_st,0.2,16.0,22.9085123309467,40.0,1.0
20,rand_st,0.2,16.0,22.408852061438964,44.0,1.0
21,rand_st,0.2,15.0,27.753532498990715,52.0,1.0
22,rand_st,0.2,15.0,20.547745077281387,40.0,1.0
23,rand_st,0.2,14.0,20.836556456643795,37.0,1.0
24,rand_st,0.2,15.0,21.67305365066559,46.0,1.0
25,rand_st,0.2,14.0,19.26092384519351,35.0,1.0
26,rand_st,0.2,18.0,23.56711202466598,47.0,1.0
27,rand_st,0.2,16.0,21.642045454545453,38.0,1.0
28,rand_st,0.2,16.0,23.932038834951456,48.0,1.0
29,rand_st,0.2,14.0,20.622177419354838,34.0,1.0
30,rand_st,0.2,19.0,28.28688524590164,53.0,1.0
31,rand_st,0.2,16.0,25.427737520128826,52.0,1.0
32,rand_st,0.2,19.0,23.2799038268884,48.0,1.0
33,rand_st,0.2,14.0,25.838948233360725,46.0,1.0
34,rand_st,0.2,15.0,20.429057434460677,37.0,1.0
35,rand_st,0.2,22.0,23.13744457879887,49.0,1.0
36,rand_st,0.2,17.0,25.819335347432023,60.0,1.0
37,rand_st,0.2,15.0,25.865440869201837,47.0,1.0
38,rand_st,0.2,16.0,23.384261113336002,37.0,1.0
39,rand_st,0.2,15.0,21.954664517428974,42.0,1.0
40,rand_st,0.2,16.0,27.060557125555107,53.0,1.0
