net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,rand_st,none,0.0,99,0.99,19.0,529.0510204081631,0.04779806659505907,0.9081632653061222,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
1,rand_st,none,0.0,100,1.0,15.0,529.5252525252525,0.061279461279461274,0.9191919191919191,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
2,rand_st,none,0.0,100,1.0,17.0,528.2222222222223,0.05228758169934641,0.8888888888888892,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
3,rand_st,none,0.0,99,0.99,16.0,528.1734693877551,0.055484693877551026,0.8877551020408164,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
4,rand_st,none,0.0,100,1.0,16.0,529.0909090909091,0.05681818181818181,0.909090909090909,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
5,rand_st,none,0.0,97,0.97,17.0,527.6250000000001,0.051470588235294115,0.875,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
6,rand_st,none,0.0,100,1.0,19.0,529.5252525252525,0.04837852206273258,0.9191919191919191,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
7,rand_st,none,0.0,100,1.0,15.0,527.3535353535354,0.057912457912457915,0.8686868686868686,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
8,rand_st,none,0.0,100,1.0,21.0,526.4848484848484,0.0404040404040404,0.8484848484848484,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
9,rand_st,none,0.0,100,1.0,18.0,527.7878787878789,0.04882154882154883,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
10,rand_st,none,0.0,100,1.0,17.0,529.9595959595962,0.05466428995840761,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
11,rand_st,none,0.0,100,1.0,19.0,528.6565656565656,0.04731525784157364,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
12,rand_st,none,0.0,100,1.0,18.0,528.2222222222224,0.04938271604938271,0.8888888888888892,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
13,rand_st,none,0.0,100,1.0,15.0,527.7878787878789,0.05858585858585859,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
14,rand_st,none,0.0,100,1.0,17.0,528.6565656565656,0.052881758764111705,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
15,rand_st,none,0.0,100,1.0,15.0,527.7878787878789,0.05858585858585859,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
16,rand_st,none,0.0,82,0.82,16.0,529.8148148148148,0.05787037037037036,0.9259259259259257,nan,nan,81.0,81.0,0.0,nan,0,nan,nan
17,rand_st,none,0.0,97,0.97,20.0,528.0729166666667,0.04427083333333333,0.8854166666666666,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
18,rand_st,none,0.0,100,1.0,14.0,527.7878787878789,0.06277056277056278,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
19,rand_st,none,0.0,100,1.0,16.0,528.6565656565656,0.056186868686868695,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
20,rand_st,none,0.0,100,1.0,16.0,529.0909090909091,0.05681818181818181,0.909090909090909,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
21,rand_st,none,0.0,100,1.0,15.0,529.9595959595961,0.06195286195286197,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
22,rand_st,none,0.0,97,0.97,15.0,529.4166666666667,0.061111111111111116,0.9166666666666665,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
23,rand_st,none,0.0,97,0.97,14.0,530.3125,0.06696428571428571,0.9375,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
24,rand_st,none,0.0,100,1.0,15.0,529.9595959595961,0.06195286195286197,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
25,rand_st,none,0.0,99,0.99,14.0,528.1734693877551,0.06341107871720118,0.8877551020408164,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
26,rand_st,none,0.0,100,1.0,18.0,528.6565656565656,0.04994388327721661,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
27,rand_st,none,0.0,100,1.0,16.0,527.7878787878789,0.054924242424242424,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
28,rand_st,none,0.0,100,1.0,16.0,527.3535353535353,0.05429292929292929,0.8686868686868686,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
