net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,static,none,0.0,99,0.99,19.0,529.0510204081631,0.04779806659505907,0.9081632653061222,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
1,static,none,0.0,100,1.0,18.0,529.5252525252525,0.0510662177328844,0.9191919191919191,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
2,static,none,0.0,100,1.0,20.0,528.2222222222223,0.044444444444444446,0.8888888888888892,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
3,static,none,0.0,99,0.99,18.0,528.1734693877551,0.04931972789115646,0.8877551020408164,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
4,static,none,0.0,100,1.0,19.0,529.0909090909091,0.04784688995215312,0.909090909090909,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
5,static,none,0.0,97,0.97,19.0,527.6250000000001,0.04605263157894736,0.875,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
6,static,none,0.0,100,1.0,21.0,529.5252525252525,0.04377104377104378,0.9191919191919191,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
7,static,none,0.0,100,1.0,18.0,527.3535353535354,0.04826038159371492,0.8686868686868686,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
8,static,none,0.0,100,1.0,22.0,526.4848484848484,0.03856749311294766,0.8484848484848484,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
9,static,none,0.0,100,1.0,21.0,527.7878787878789,0.04184704184704184,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
10,static,none,0.0,100,1.0,22.0,529.9595959595962,0.042240587695133155,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
11,static,none,0.0,100,1.0,22.0,528.6565656565656,0.04086317722681359,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
12,static,none,0.0,100,1.0,19.0,528.2222222222224,0.04678362573099414,0.8888888888888892,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
13,static,none,0.0,100,1.0,18.0,527.7878787878789,0.04882154882154883,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
14,static,none,0.0,100,1.0,18.0,528.6565656565656,0.04994388327721661,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
15,static,none,0.0,100,1.0,18.0,527.7878787878789,0.04882154882154883,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
16,static,none,0.0,82,0.82,20.0,529.8148148148148,0.046296296296296294,0.9259259259259257,nan,nan,81.0,81.0,0.0,nan,0,nan,nan
17,static,none,0.0,97,0.97,20.0,528.0729166666667,0.04427083333333333,0.8854166666666666,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
18,static,none,0.0,100,1.0,20.0,527.7878787878789,0.04393939393939394,0.8787878787878788,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
19,static,none,0.0,100,1.0,19.0,528.6565656565656,0.04731525784157364,0.8989898989898991,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
20,static,none,0.0,100,1.0,18.0,529.0909090909091,0.050505050505050504,0.909090909090909,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
21,static,none,0.0,100,1.0,18.0,529.9595959595961,0.05162738496071829,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
22,static,none,0.0,97,0.97,17.0,529.4166666666667,0.053921568627451,0.9166666666666665,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
23,static,none,0.0,97,0.97,19.0,530.3125,0.049342105263157895,0.9375,nan,nan,96.0,96.0,0.0,nan,0,nan,nan
24,static,none,0.0,100,1.0,18.0,529.9595959595961,0.05162738496071829,0.9292929292929291,nan,nan,99.0,99.0,0.0,nan,0,nan,nan
25,static,none,0.0,99,0.99,18.0,528.1734693877551,0.04931972789115646,0.8877551020408164,nan,nan,98.0,98.0,0.0,nan,0,nan,nan
