sigma,net,reachable,nodes
2,0,0.05,5
2,1,0.03,3
2,2,0.03,3
2,3,0.02,2
2,4,0.08,8
2,5,0.02,2
2,6,0.03,3
2,7,0.08,8
2,8,0.05,5
2,9,0.09,9
2,10,0.05,5
2,11,0.08,8
2,12,0.11,11
2,13,0.01,1
2,14,0.05,5
2,15,0.06,6
2,16,0.16,16
2,17,0.05,5
2,18,0.12,12
2,19,0.03,3
2,20,0.09,9
2,21,0.03,3
2,22,0.02,2
2,23,0.04,4
2,24,0.01,1
2,25,0.07,7
2,26,0.13,13
2,27,0.06,6
2,28,0.04,4
2,29,0.02,2
2,30,0.02,2
2,31,0.04,4
2,32,0.01,1
2,33,0.02,2
2,34,0.06,6
2,35,0.33,33
2,36,0.1,10
2,37,0.05,5
2,38,0.04,4
2,39,0.07,7
2,40,0.01,1
2,41,0.02,2
2,42,0.04,4
2,43,0.07,7
2,44,0.01,1
2,45,0.01,1
2,46,0.01,1
2,47,0.14,14
2,48,0.2,20
2,49,0.03,3
4,0,0.8,80
4,1,0.39,39
4,2,0.69,69
4,3,0.51,51
4,4,0.89,89
4,5,0.63,63
4,6,0.27,27
4,7,0.67,67
4,8,0.54,54
4,9,0.41,41
4,10,0.07,7
4,11,0.77,77
4,12,0.19,19
4,13,0.12,12
4,14,0.41,41
4,15,0.61,61
4,16,0.54,54
4,17,0.05,5
4,18,0.26,26
4,19,0.9,90
4,20,0.21,21
4,21,0.32,32
4,22,0.65,65
4,23,0.34,34
4,24,0.02,2
4,25,0.64,64
4,26,0.26,26
4,27,0.17,17
4,28,0.52,52
4,29,0.26,26
4,30,0.04,4
4,31,0.3,30
4,32,0.57,57
4,33,0.02,2
4,34,0.51,51
4,35,0.66,66
4,36,0.46,46
4,37,0.72,72
4,38,0.94,94
4,39,0.77,77
4,40,0.55,55
4,41,0.67,67
4,42,0.12,12
4,43,0.17,17
4,44,0.48,48
4,45,0.31,31
4,46,0.76,76
4,47,0.3,30
4,48,0.55,55
4,49,0.61,61
6,0,0.98,98
6,1,0.99,99
6,2,1.0,100
6,3,0.99,99
6,4,0.94,94
6,5,0.93,93
6,6,0.76,76
6,7,0.9,90
6,8,0.88,88
6,9,0.44,44
6,10,0.34,34
6,11,0.82,82
6,12,0.73,73
6,13,0.12,12
6,14,0.98,98
6,15,0.87,87
6,16,0.72,72
6,17,0.9,90
6,18,0.75,75
6,19,0.96,96
6,20,0.99,99
6,21,0.99,99
6,22,0.97,97
6,23,0.91,91
6,24,0.98,98
6,25,0.98,98
6,26,0.97,97
6,27,0.74,74
6,28,1.0,100
6,29,0.97,97
6,30,0.87,87
6,31,0.74,74
6,32,1.0,100
6,33,0.98,98
6,34,0.94,94
6,35,0.89,89
6,36,0.91,91
6,37,0.9,90
6,38,0.99,99
6,39,0.89,89
6,40,0.91,91
6,41,0.71,71
6,42,0.75,75
6,43,0.85,85
6,44,0.99,99
6,45,0.94,94
6,46,0.83,83
6,47,0.49,49
6,48,0.96,96
6,49,0.85,85
8,0,0.99,99
8,1,1.0,100
8,2,1.0,100
8,3,0.99,99
8,4,1.0,100
8,5,0.96,96
8,6,1.0,100
8,7,1.0,100
8,8,0.98,98
8,9,1.0,100
8,10,1.0,100
8,11,1.0,100
8,12,0.92,92
8,13,0.76,76
8,14,0.98,98
8,15,1.0,100
8,16,0.82,82
8,17,0.9,90
8,18,1.0,100
8,19,0.97,97
8,20,1.0,100
8,21,1.0,100
8,22,0.97,97
8,23,0.97,97
8,24,1.0,100
8,25,0.98,98
8,26,0.97,97
8,27,0.98,98
8,28,1.0,100
8,29,1.0,100
8,30,0.93,93
8,31,1.0,100
8,32,1.0,100
8,33,1.0,100
8,34,0.95,95
8,35,0.99,99
8,36,0.97,97
8,37,0.94,94
8,38,1.0,100
8,39,0.94,94
8,40,0.96,96
8,41,1.0,100
8,42,1.0,100
8,43,0.96,96
8,44,0.99,99
8,45,0.96,96
8,46,0.99,99
8,47,0.92,92
8,48,0.98,98
8,49,1.0,100
10,0,0.99,99
10,1,1.0,100
10,2,1.0,100
10,3,0.99,99
10,4,1.0,100
10,5,0.97,97
10,6,1.0,100
10,7,1.0,100
10,8,1.0,100
10,9,1.0,100
10,10,1.0,100
10,11,1.0,100
10,12,1.0,100
10,13,1.0,100
10,14,1.0,100
10,15,1.0,100
10,16,0.82,82
10,17,0.97,97
10,18,1.0,100
10,19,1.0,100
10,20,1.0,100
10,21,1.0,100
10,22,0.97,97
10,23,0.97,97
10,24,1.0,100
10,25,0.99,99
10,26,1.0,100
10,27,1.0,100
10,28,1.0,100
10,29,1.0,100
10,30,0.93,93
10,31,1.0,100
10,32,1.0,100
10,33,1.0,100
10,34,1.0,100
10,35,1.0,100
10,36,0.97,97
10,37,0.96,96
10,38,1.0,100
10,39,1.0,100
10,40,1.0,100
10,41,1.0,100
10,42,1.0,100
10,43,0.96,96
10,44,1.0,100
10,45,1.0,100
10,46,0.99,99
10,47,1.0,100
10,48,0.99,99
10,49,1.0,100
