net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,bsps,ack,0.0,99,0.99,9.5,576.7255102040816,0.023899033297529536,0.4540816326530611,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
1,bsps,ack,0.0,100,1.0,9.0,576.9626262626263,0.0255331088664422,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
2,bsps,ack,0.0,100,1.0,10.0,576.311111111111,0.022222222222222223,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
3,bsps,ack,0.0,99,0.99,9.0,576.2867346938775,0.02465986394557823,0.4438775510204082,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
4,bsps,ack,0.0,100,1.0,9.5,576.7454545454544,0.02392344497607656,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
5,bsps,ack,0.0,97,0.97,9.5,576.0125,0.02302631578947368,0.4375,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
6,bsps,ack,0.0,100,1.0,10.5,576.9626262626263,0.02188552188552189,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
7,bsps,ack,0.0,100,1.0,9.0,575.8767676767677,0.02413019079685746,0.4343434343434343,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
8,bsps,ack,0.0,100,1.0,11.0,575.4424242424243,0.019283746556473826,0.4242424242424242,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
9,bsps,ack,0.0,100,1.0,10.5,576.0939393939392,0.020923520923520917,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
10,bsps,ack,0.0,100,1.0,11.0,577.179797979798,0.021120293847566578,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
11,bsps,ack,0.0,100,1.0,11.0,576.5282828282828,0.020431588613406795,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
12,bsps,ack,0.0,100,1.0,9.5,576.311111111111,0.02339181286549707,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
13,bsps,ack,0.0,100,1.0,9.0,576.0939393939392,0.024410774410774414,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
14,bsps,ack,0.0,100,1.0,9.0,576.5282828282828,0.024971941638608306,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
15,bsps,ack,0.0,100,1.0,9.0,576.0939393939392,0.024410774410774414,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
16,bsps,ack,0.0,82,0.82,10.0,577.1074074074073,0.023148148148148147,0.46296296296296285,nan,nan,40.5,40.5,0.5,nan,0,nan,nan
17,bsps,ack,0.0,97,0.97,10.0,576.2364583333333,0.022135416666666664,0.44270833333333337,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
18,bsps,ack,0.0,100,1.0,10.0,576.0939393939392,0.02196969696969697,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
19,bsps,ack,0.0,100,1.0,9.5,576.5282828282828,0.02365762892078682,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
20,bsps,ack,0.0,100,1.0,9.0,576.7454545454544,0.025252525252525252,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
21,bsps,ack,0.0,100,1.0,9.0,577.179797979798,0.025813692480359144,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
22,bsps,ack,0.0,97,0.97,8.5,576.9083333333333,0.0269607843137255,0.4583333333333333,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
23,bsps,ack,0.0,97,0.97,9.5,577.35625,0.024671052631578948,0.46875,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
24,bsps,ack,0.0,100,1.0,9.0,577.179797979798,0.025813692480359144,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
25,bsps,ack,0.0,99,0.99,9.0,576.2867346938775,0.02465986394557823,0.4438775510204082,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
26,bsps,ack,0.0,100,1.0,10.0,576.5282828282828,0.022474747474747477,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
27,bsps,ack,0.0,100,1.0,9.5,576.0939393939392,0.023125996810207335,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
28,bsps,ack,0.0,100,1.0,9.0,575.8767676767677,0.02413019079685746,0.4343434343434343,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
29,bsps,ack,0.0,100,1.0,9.0,576.7454545454544,0.025252525252525252,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
30,bsps,ack,0.0,93,0.93,9.5,577.9989130434783,0.02545766590389015,0.483695652173913,nan,nan,46.0,46.0,0.5,nan,0,nan,nan
31,bsps,ack,0.0,100,1.0,8.5,576.7454545454544,0.0267379679144385,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
32,bsps,ack,0.0,100,1.0,10.0,576.5282828282828,0.022474747474747477,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
33,bsps,ack,0.0,100,1.0,9.5,577.179797979798,0.02445507708665604,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
