net,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,csma,0.02,0.99,99,9,7,19,19.0,1328.1320367346939,1.0,19.0,4.543388429752066,10.0,nan,nan,nan,nan,0,0.0,0.9897750511247444
1,csma,0.02,1.0,100,8,7,18,18.0,1286.00981010101,1.0,18.0,5.51008064516129,11.0,nan,nan,nan,nan,0,0.0,0.9979879275653923
2,csma,0.02,1.0,100,11,8,20,20.0,1371.722686868687,1.0,20.0,4.839583333333334,9.0,nan,nan,nan,nan,0,0.0,0.997920997920998
3,csma,0.02,0.99,99,11,6,18,18.0,1282.23653877551,1.0,18.0,4.61407249466951,11.0,nan,nan,nan,nan,0,0.0,0.9873684210526316
4,csma,0.02,1.0,100,9,8,19,19.0,1329.820391919192,1.0,19.0,4.889112903225806,10.0,nan,nan,nan,nan,0,0.0,0.9900199600798403
5,csma,0.02,0.97,97,12,6,19,19.0,1326.5354041666667,1.0,19.0,4.525458248472505,10.0,nan,nan,nan,nan,0,0.0,0.9879275653923542
6,csma,0.02,1.0,100,9,6,21,21.0,1412.8862383838384,1.0,21.0,4.687374749498998,10.0,nan,nan,nan,nan,0,0.0,0.9960079840319361
7,csma,0.02,1.0,100,13,7,18,18.0,1283.7086101010102,1.0,18.0,4.652694610778443,10.0,nan,nan,nan,nan,0,0.0,0.9920792079207921
8,csma,0.02,1.0,100,15,6,22,22.0,1457.379616161616,1.0,22.0,4.256461232604374,9.0,nan,nan,nan,nan,0,0.0,0.996039603960396
9,csma,0.02,1.0,100,13,5,21,21.0,1415.5973777777779,1.0,21.0,4.673870333988212,10.0,nan,nan,nan,nan,0,0.0,1.0
10,csma,0.02,1.0,100,9,6,22,22.0,1458.9442060606061,1.0,22.0,5.635814889336016,11.0,nan,nan,nan,nan,0,0.0,1.0
11,csma,0.02,1.0,100,12,6,22,22.0,1455.9898585858587,1.0,22.0,4.519396551724138,10.0,nan,nan,nan,nan,0,0.0,0.9957081545064378
12,csma,0.02,1.0,100,11,8,19,19.0,1326.482121212121,1.0,19.0,4.759219088937093,11.0,nan,nan,nan,nan,0,0.0,0.9913978494623656
13,csma,0.02,1.0,100,12,8,18,18.0,1284.0416606060605,1.0,18.0,4.952479338842975,11.0,nan,nan,nan,nan,0,0.0,0.9938398357289527
14,csma,0.02,1.0,100,10,5,18,18.0,1283.1403595959596,1.0,18.0,4.989775051124744,11.0,nan,nan,nan,nan,0,0.0,0.9918864097363083
15,csma,0.02,1.0,100,12,5,18,18.0,1282.1556484848484,1.0,18.0,4.962890625,10.0,nan,nan,nan,nan,0,0.0,0.9922480620155039
16,csma,0.02,0.82,82,10,6,20,20.0,1370.2488296296297,1.0,20.0,4.767857142857143,10.0,nan,nan,nan,nan,0,0.0,0.9974554707379135
17,csma,0.02,0.97,97,11,6,20,20.0,1370.5881166666668,1.0,20.0,4.6923076923076925,10.0,nan,nan,nan,nan,0,0.0,0.9852631578947368
18,csma,0.02,1.0,100,12,5,20,20.0,1368.6298787878786,1.0,20.0,4.604081632653061,9.549999999999955,nan,nan,nan,nan,0,0.0,0.9959349593495935
19,csma,0.02,1.0,100,10,5,19,19.0,1325.6348363636364,1.0,19.0,4.547667342799189,10.399999999999977,nan,nan,nan,nan,0,0.0,0.9939516129032258
20,csma,0.02,1.0,100,9,6,18,18.0,1286.9079515151516,1.0,18.0,5.136690647482014,11.0,nan,nan,nan,nan,0,0.0,1.0
21,csma,0.02,1.0,100,8,8,18,18.0,1286.6647313131314,1.0,18.0,5.789783889980353,12.0,nan,nan,nan,nan,0,0.0,1.0
22,csma,0.02,0.97,97,10,5,17,17.0,1239.2724208333334,1.0,17.0,4.968468468468468,10.0,nan,nan,nan,nan,0,0.0,0.9910714285714286
23,csma,0.02,0.97,97,7,7,19,19.0,1328.1576791666666,1.0,19.0,5.171673819742489,10.0,nan,nan,nan,nan,0,0.0,1.0
24,csma,0.02,1.0,100,10,6,18,18.0,1283.3780161616162,1.0,18.0,4.4288659793814436,10.0,nan,nan,nan,nan,0,0.0,0.9897959183673469
25,csma,0.02,0.99,99,11,5,18,18.0,1281.7183795918368,1.0,18.0,4.294491525423729,10.0,nan,nan,nan,nan,0,0.0,0.9978858350951374
26,csma,0.02,1.0,100,10,5,20,20.0,1367.6324525252526,1.0,20.0,4.142857142857143,9.0,nan,nan,nan,nan,0,0.0,0.9977728285077951
27,csma,0.02,1.0,100,12,6,19,19.0,1325.2373575757574,1.0,19.0,4.667355371900826,10.0,nan,nan,nan,nan,0,0.0,0.9958847736625515
28,csma,0.02,1.0,100,13,5,18,18.0,1282.1225333333332,1.0,18.0,4.352083333333334,10.0,nan,nan,nan,nan,0,0.0,0.9917355371900827
29,csma,0.02,1.0,100,9,5,18,18.0,1281.1888242424243,1.0,18.0,4.49780701754386,9.0,nan,nan,nan,nan,0,0.0,0.991304347826087
30,csma,0.02,0.93,93,11,6,19,19.0,1328.3577217391305,1.0,19.0,5.0638297872340425,12.0,nan,nan,nan,nan,0,0.0,1.0
31,csma,0.02,1.0,100,9,6,17,17.0,1240.8575595959596,1.0,17.0,5.3612244897959185,12.0,nan,nan,nan,nan,0,0.0,1.0
