net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,6,rand_st_A,0.2,0.96,96,8,7,15,15.0,566.001797894737,0.08959157894736842,1.3438736842105263,158.85065339141258,305.0,55.332,95.0,0.0,1.0,0,0.0,1.0
1,6,rand_st_A,0.2,0.85,85,7,10,15,13.0,566.8565238095238,0.10507692307692307,1.366,170.90638099673964,403.0,49.256,84.0,0.0,1.0,0,0.0,1.0
2,6,rand_st_A,0.2,0.96,96,7,14,18,12.0,571.1832463157896,0.11739298245614035,1.4087157894736841,250.95158944525244,503.0,50.172,95.0,0.0,1.0,0,0.0,1.0
3,6,rand_st_A,0.2,0.92,92,8,9,17,14.0,569.7285846153846,0.10055572998430143,1.4077802197802198,196.7782844733985,307.0,51.892,91.0,0.0,1.0,0,0.0,1.0
4,6,rand_st_A,0.2,1.0,100,8,10,16,13.0,566.1281898989898,0.10326961926961926,1.3425050505050504,162.31555374592833,305.0,57.092,99.0,0.0,1.0,0,0.0,1.0
5,6,rand_st_A,0.2,0.99,99,7,11,17,12.0,567.2013795918368,0.11320408163265307,1.3584489795918366,211.41200489995916,403.0,55.872,98.0,0.0,1.0,0,0.0,1.0
6,6,rand_st_A,0.2,0.97,97,7,10,16,12.0,568.3972625000001,0.11561458333333333,1.387375,203.04547350855236,401.0,54.812,96.0,0.0,1.0,0,0.0,1.0
7,6,rand_st_A,0.2,0.66,66,8,9,15,13.0,562.1285046153846,0.09871715976331362,1.2833230769230768,115.33143939393939,403.0,38.584,65.0,0.0,1.0,0,0.0,1.0
8,6,rand_st_A,0.2,1.0,100,6,15,18,12.0,570.4014747474749,0.11705387205387205,1.4046464646464647,179.12510187449064,411.0,53.94,99.0,0.0,1.0,0,0.0,1.0
9,6,rand_st_A,0.2,0.91,91,9,10,17,14.0,564.8836,0.09507301587301586,1.3310222222222223,244.41092016532522,403.0,53.208,90.0,0.0,1.0,0,0.0,1.0
10,6,rand_st_A,0.2,0.75,75,8,9,14,12.0,564.0096756756758,0.10995495495495496,1.3194594594594595,175.58583400919167,307.0,44.36,74.0,0.0,1.0,0,0.0,1.0
11,6,rand_st_A,0.2,0.87,87,10,17,22,15.0,563.1692325581396,0.08610542635658915,1.2915813953488373,248.2820032763866,606.0,50.924,86.0,0.0,1.0,0,0.0,1.0
12,6,rand_st_A,0.2,0.98,98,6,9,15,11.0,568.4427298969073,0.12533833177132148,1.378721649484536,169.14581624282198,308.0,54.264,97.0,0.0,1.0,0,0.0,1.0
13,6,rand_st_A,0.2,0.65,65,9,6,14,14.0,559.1519750000001,0.0887142857142857,1.242,71.85906040268456,211.0,39.512,64.0,0.0,1.0,0,0.0,1.0
14,6,rand_st_A,0.2,0.89,89,8,10,16,13.0,569.2273681818182,0.10744405594405594,1.3967727272727273,259.70372836218377,504.0,50.084,88.0,0.0,1.0,0,0.0,1.0
15,6,rand_st_A,0.2,1.0,100,8,12,16,12.0,567.6318303030305,0.1134141414141414,1.360969696969697,216.61333065649467,502.0,55.264,99.0,0.0,1.0,0,0.0,1.0
16,6,rand_st_A,0.2,0.74,74,8,7,13,12.0,561.9641150684931,0.10745662100456621,1.2894794520547945,104.62472466960352,211.0,43.868,73.0,0.0,1.0,0,0.0,1.0
17,6,rand_st_A,0.2,0.94,94,7,10,15,12.0,567.7991354838709,0.11465591397849463,1.3758709677419356,168.46647677475897,403.0,53.044,93.0,0.0,1.0,0,0.0,1.0
18,6,rand_st_A,0.2,0.71,71,6,6,14,14.0,562.9174457142858,0.0934408163265306,1.3081714285714285,130.7251712328767,308.0,42.428,70.0,0.0,1.0,0,0.0,1.0
19,6,rand_st_A,0.2,0.79,79,8,9,13,11.0,564.9807282051282,0.12038228438228438,1.3242051282051281,134.88456680980045,310.0,44.712,78.0,0.0,1.0,0,0.0,1.0
20,6,rand_st_A,0.2,0.72,72,9,10,15,14.0,564.1334929577465,0.09459557344064386,1.324338028169014,234.67030201342283,502.0,42.972,71.0,0.0,1.0,0,0.0,1.0
21,6,rand_st_A,0.2,0.99,99,6,9,15,11.0,568.2358489795919,0.12518367346938775,1.3770204081632653,177.7677562550444,307.0,55.052,98.0,0.0,1.0,0,0.0,1.0
22,6,rand_st_A,0.2,0.6,60,7,8,15,15.0,563.6662711864407,0.08712768361581921,1.3069152542372882,123.95939952234733,301.0,34.892,59.0,0.0,1.0,0,0.0,1.0
23,6,rand_st_A,0.2,1.0,100,7,16,21,12.0,570.2542747474748,0.1172828282828283,1.4073939393939394,387.55512533115956,703.0,55.668,99.0,0.0,1.0,0,0.0,1.0
24,6,rand_st_A,0.2,0.89,89,10,7,16,16.0,560.4433409090909,0.07903693181818182,1.264590909090909,98.02178352620831,212.0,54.716,88.0,0.0,1.0,0,0.0,1.0
25,6,rand_st_A,0.2,1.0,100,7,9,16,13.0,569.3531595959596,0.10738461538461538,1.396,184.08376545672118,310.0,54.796,99.0,0.0,1.0,0,0.0,1.0
