net,sigma,transmissions,L_A,failed_A,L_B,failed_B,L_T,failed_T
0,6,97,17,0,16,0,12,44
1,6,98,20,0,20,0,18,26
2,6,99,16,0,16,0,14,38
3,6,98,17,0,16,0,14,33
4,6,93,18,0,17,0,13,35
5,6,92,17,0,16,0,13,33
6,6,75,20,0,19,0,13,37
7,6,89,17,0,14,0,11,34
8,6,87,16,0,15,0,10,38
9,6,43,13,0,13,0,9,18
10,6,33,14,0,14,0,12,7
11,6,81,16,0,14,0,9,41
12,6,72,19,0,15,0,10,35
13,6,11,8,0,8,0,5,4
14,6,97,20,0,16,0,10,46
15,6,86,16,0,15,0,12,27
16,6,71,19,0,16,0,12,27
17,6,89,16,0,15,0,11,37
18,6,74,16,0,15,0,12,24
19,6,95,17,0,16,0,11,41
20,6,98,16,0,16,0,12,30
21,6,98,19,0,19,0,16,35
22,6,96,17,0,15,0,11,38
23,6,90,17,0,17,0,16,27
24,6,97,19,0,17,0,15,36
25,6,97,16,0,14,0,11,41
26,6,96,17,0,15,0,10,46
27,6,73,18,0,17,0,11,23
28,6,99,16,0,16,0,15,34
29,6,96,16,0,16,0,10,44
30,6,86,18,0,17,0,13,39
31,6,73,16,0,15,0,10,38
32,6,99,18,0,17,0,11,39
33,6,97,17,0,17,0,13,33
34,6,93,19,0,17,0,15,29
35,6,88,18,0,15,0,12,39
36,6,90,19,0,19,0,12,39
37,6,89,17,0,15,0,11,29
38,6,98,18,0,17,0,15,35
39,6,88,15,0,14,0,11,36
40,6,90,19,0,17,0,11,43
41,6,70,16,0,14,0,10,29
42,6,74,16,0,14,0,10,27
43,6,84,19,0,16,0,13,36
44,6,98,17,0,17,0,14,43
45,6,93,19,0,18,0,15,33
46,6,82,15,0,14,0,11,30
47,6,48,14,0,14,0,12,12
48,6,95,18,0,16,0,11,52
49,6,84,15,0,14,0,10,33
0,8,98,21,0,17,0,11,49
1,8,99,18,0,16,0,13,35
2,8,99,21,0,19,0,11,61
3,8,98,20,0,17,0,15,41
4,8,99,18,0,17,0,10,57
5,8,95,20,0,18,0,12,43
6,8,99,21,0,21,0,14,51
7,8,99,18,0,17,0,10,52
8,8,97,20,0,19,0,13,52
9,8,99,20,0,18,0,10,54
10,8,99,24,0,22,0,14,38
11,8,99,20,0,17,0,11,58
12,8,91,19,0,16,0,10,48
13,8,75,19,0,18,0,12,37
14,8,97,19,0,16,0,10,45
15,8,99,17,0,14,0,10,52
16,8,81,21,0,18,0,11,40
17,8,89,20,0,18,0,10,52
18,8,99,18,0,17,0,11,49
19,8,96,19,0,17,0,12,49
20,8,99,20,0,18,0,11,43
21,8,99,19,0,19,0,15,47
22,8,96,18,0,16,0,10,50
23,8,96,20,0,18,0,12,47
24,8,99,19,0,17,0,11,50
25,8,97,18,0,15,0,10,54
26,8,96,19,0,17,0,11,50
27,8,97,19,0,15,0,11,46
28,8,99,19,0,16,0,12,44
29,8,99,17,0,16,0,9,55
30,8,92,21,0,18,0,12,41
31,8,99,18,0,16,0,11,42
32,8,99,20,0,18,0,11,49
33,8,99,19,0,17,0,13,39
34,8,94,18,0,16,0,10,43
35,8,98,22,0,20,0,13,61
36,8,96,20,0,19,0,11,52
37,8,93,20,0,18,0,10,45
38,8,99,18,0,16,0,12,48
39,8,93,21,0,20,0,11,43
40,8,95,19,0,17,0,12,46
41,8,99,19,0,16,0,11,50
42,8,99,19,0,18,0,11,46
43,8,95,22,0,19,0,12,40
44,8,98,19,0,17,0,10,56
45,8,95,18,0,16,0,10,46
46,8,98,20,0,17,0,11,52
47,8,91,20,0,18,0,14,34
48,8,97,20,0,18,0,11,52
49,8,99,17,0,15,0,13,56
0,10,98,25,0,19,0,10,64
1,10,99,19,0,18,0,11,55
2,10,99,24,0,20,0,11,65
3,10,98,23,0,18,0,12,55
4,10,99,21,0,19,0,11,63
5,10,96,22,0,19,0,12,54
6,10,99,22,0,21,0,11,57
7,10,99,20,0,18,0,13,56
8,10,99,24,0,22,0,15,64
9,10,99,25,0,21,0,13,62
10,10,99,25,0,22,0,12,53
11,10,99,22,0,22,0,12,63
12,10,99,21,0,19,0,11,52
13,10,99,21,0,18,0,12,51
14,10,99,20,0,18,0,11,58
15,10,99,19,0,18,0,12,52
16,10,81,23,0,20,0,11,42
17,10,96,24,0,20,0,11,60
