net,q,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,0.5,static,19.0,557.4017632653062,0.06532760472610095,1.2412244897959186,14.920025867643888,19.0,65.36,98.0,0.0,1.0,0,0.0,1.0
1,0.5,static,18.0,561.7730666666666,0.07183389450056117,1.2930101010101012,16.456401878701246,18.0,61.992,99.0,0.0,1.0,0,0.0,1.0
2,0.5,static,20.0,560.5551191919192,0.06353131313131315,1.2706262626262625,16.984432609586236,20.0,61.208,99.0,0.0,1.0,0,0.0,1.0
3,0.5,static,18.0,559.749036734694,0.07017233560090702,1.2631020408163265,14.26715497301465,18.0,61.216,98.0,0.0,1.0,0,0.0,1.0
4,0.5,static,19.0,558.819191919192,0.0660414673046252,1.254787878787879,15.764582017266793,19.0,64.776,99.0,0.0,1.0,0,0.0,1.0
5,0.5,static,19.0,558.089875,0.06508333333333334,1.2365833333333336,14.320966716133135,19.0,61.288,96.0,0.0,1.0,0,0.0,1.0
6,0.5,static,21.0,561.5905454545455,0.06166426166426166,1.2949494949494949,17.368495646892082,21.0,61.8,99.0,0.0,1.0,0,0.0,1.0
7,0.5,static,18.0,558.0928565656566,0.06844893378226712,1.232080808080808,15.31745419479267,18.0,63.024,99.0,0.0,1.0,0,0.0,1.0
8,0.5,static,22.0,556.3070828282829,0.054837465564738286,1.2064242424242424,17.98731587561375,22.0,63.564,99.0,0.0,1.0,0,0.0,1.0
9,0.5,static,21.0,556.2924606060607,0.05779316979316979,1.2136565656565657,18.013110594205962,21.0,65.848,99.0,0.0,1.0,0,0.0,1.0
10,0.5,static,22.0,561.7749777777778,0.058896235078053256,1.2957171717171716,17.07416930379747,22.0,62.724,99.0,0.0,1.0,0,0.0,1.0
11,0.5,static,22.0,558.4658020202021,0.056966023875114784,1.2532525252525253,17.693410355156182,22.0,63.928,99.0,0.0,1.0,0,0.0,1.0
12,0.5,static,19.0,558.7067959595961,0.06574375332270069,1.2491313131313129,16.129681836488118,19.0,63.336,99.0,0.0,1.0,0,0.0,1.0
13,0.5,static,18.0,559.9089696969697,0.06982716049382716,1.256888888888889,14.696581196581196,18.0,61.568,99.0,0.0,1.0,0,0.0,1.0
14,0.5,static,18.0,557.4530383838385,0.06893602693602693,1.240848484848485,15.29404617253949,18.0,65.156,99.0,0.0,1.0,0,0.0,1.0
15,0.5,static,18.0,559.0446585858587,0.06940740740740739,1.2493333333333334,15.591307814992026,18.0,62.316,99.0,0.0,1.0,0,0.0,1.0
16,0.5,static,20.0,560.2936197530864,0.06420740740740741,1.2841481481481483,16.398936170212767,20.0,51.984,81.0,0.0,1.0,0,0.0,1.0
17,0.5,static,20.0,560.5147291666667,0.06353958333333333,1.2707916666666665,14.856391925988225,20.0,59.004,96.0,0.0,1.0,0,0.0,1.0
18,0.5,static,20.0,557.948606060606,0.061890909090909094,1.2378181818181817,15.815898713158987,20.0,63.456,99.0,0.0,1.0,0,0.0,1.0
19,0.5,static,19.0,559.9575878787879,0.06689420520999469,1.2709898989898991,16.09032131661442,19.0,62.172,99.0,0.0,1.0,0,0.0,1.0
20,0.5,static,18.0,561.0452686868687,0.07123232323232324,1.2821818181818183,15.504734299516908,18.0,62.064,99.0,0.0,1.0,0,0.0,1.0
21,0.5,static,18.0,560.6188202020202,0.07129966329966331,1.2833939393939393,15.473597698787755,18.0,63.944,99.0,0.0,1.0,0,0.0,1.0
22,0.5,static,17.0,558.4616833333333,0.07396078431372548,1.2573333333333334,14.796149732620322,17.0,63.296,96.0,0.0,1.0,0,0.0,1.0
23,0.5,static,19.0,563.2260416666668,0.06946491228070176,1.3198333333333332,17.514237855946398,19.0,59.296,96.0,0.0,1.0,0,0.0,1.0
24,0.5,static,18.0,561.1621090909092,0.07194163860830528,1.2949494949494949,15.986319845857418,18.0,62.8,99.0,0.0,1.0,0,0.0,1.0
25,0.5,static,18.0,558.2491428571429,0.06913378684807256,1.2444081632653061,14.231318905675787,18.0,63.048,98.0,0.0,1.0,0,0.0,1.0
26,0.5,static,20.0,557.9011959595961,0.06243636363636364,1.2487272727272725,16.067219917012448,20.0,64.376,99.0,0.0,1.0,0,0.0,1.0
27,0.5,static,19.0,558.8881292929293,0.06562466772993088,1.246868686868687,14.234143327841846,19.0,62.56,99.0,0.0,1.0,0,0.0,1.0
28,0.5,static,18.0,559.3621656565657,0.0693692480359147,1.2486464646464646,14.82607876389674,18.0,61.384,99.0,0.0,1.0,0,0.0,1.0
29,0.5,static,18.0,560.7855838383839,0.07136700336700338,1.2846060606060605,14.971850393700787,18.0,61.824,99.0,0.0,1.0,0,0.0,1.0
30,0.5,static,19.0,561.4813000000001,0.06907322654462243,1.312391304347826,17.385656864819126,19.0,60.26,92.0,0.0,1.0,0,0.0,1.0
31,0.5,static,17.0,558.9969212121213,0.07419132501485443,1.261252525252525,15.229087261785356,17.0,64.136,99.0,0.0,1.0,0,0.0,1.0
32,0.5,static,20.0,558.8536080808082,0.06284444444444444,1.256888888888889,16.843557019349525,20.0,63.568,99.0,0.0,1.0,0,0.0,1.0
33,0.5,static,19.0,563.7253858585859,0.06976076555023925,1.3254545454545454,16.427037773359842,19.0,59.78,99.0,0.0,1.0,0,0.0,1.0
34,0.5,static,18.0,558.4059676767678,0.0698922558922559,1.258060606060606,15.783310901749664,18.0,65.452,99.0,0.0,1.0,0,0.0,1.0
35,0.5,static,24.0,556.2083757575757,0.04962121212121212,1.190909090909091,18.748362235067436,24.0,61.1,99.0,0.0,1.0,0,0.0,1.0
36,0.5,static,21.0,556.0014041666667,0.05776785714285715,1.213125,17.90284757118928,21.0,63.54,96.0,0.0,1.0,0,0.0,1.0
37,0.5,static,21.0,562.4174568421053,0.06214335839598998,1.3050105263157894,17.482306411323897,21.0,59.024,95.0,0.0,1.0,0,0.0,1.0
38,0.5,static,17.0,560.0261616161617,0.07533452168746285,1.2806868686868689,14.67859984089101,17.0,64.212,99.0,0.0,1.0,0,0.0,1.0
39,0.5,static,19.0,559.6177535353536,0.06646251993620414,1.262787878787879,15.75389711613406,19.0,61.984,99.0,0.0,1.0,0,0.0,1.0
40,0.5,static,18.0,562.2571555555556,0.07262850729517396,1.3073131313131312,15.998405421566673,18.0,62.576,99.0,0.0,1.0,0,0.0,1.0
41,0.5,static,19.0,559.0825858585858,0.06636469962785753,1.2609292929292928,16.731967213114753,19.0,64.168,99.0,0.0,1.0,0,0.0,1.0
42,0.5,static,17.0,560.0882585858587,0.074989898989899,1.2748282828282829,15.043584521384929,17.0,63.792,99.0,0.0,1.0,0,0.0,1.0
43,0.5,static,20.0,559.7443242105264,0.0632821052631579,1.2656421052631577,15.274164133738601,20.0,60.764,95.0,0.0,1.0,0,0.0,1.0
44,0.5,static,19.0,557.5652848484849,0.06508878256246677,1.2366868686868686,16.225826575171553,19.0,64.568,99.0,0.0,1.0,0,0.0,1.0
45,0.5,static,17.0,560.0478505050506,0.07557219251336897,1.2847272727272725,15.277508941721019,17.0,64.812,99.0,0.0,1.0,0,0.0,1.0
46,0.5,static,19.0,559.6519265306123,0.06706337271750806,1.274204081632653,16.414116177389133,19.0,63.128,98.0,0.0,1.0,0,0.0,1.0
47,0.5,static,19.0,556.530294949495,0.06322169059011164,1.2012121212121212,15.995279307631787,19.0,63.08,99.0,0.0,1.0,0,0.0,1.0
48,0.5,static,18.0,557.9289428571429,0.06841496598639456,1.231469387755102,15.057344064386317,18.0,62.316,98.0,0.0,1.0,0,0.0,1.0
49,0.5,static,18.0,557.1588404040406,0.06793490460157127,1.2228282828282826,15.020346494762288,18.0,63.94,99.0,0.0,1.0,0,0.0,1.0
