net,scheme,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,rand_st_A,0.2,99,0.99,23.0,559.3717346938777,0.05492635314995563,1.2633061224489794,113.85870224378411,214.0,63.196,98.0,0.0,1.0,0,0.0,1.0
1,rand_st_A,0.2,100,1.0,17.0,562.0301292929294,0.07625668449197862,1.2963636363636364,145.69373454245672,307.0,61.66,99.0,0.0,1.0,0,0.0,1.0
2,rand_st_A,0.2,100,1.0,19.0,560.1279595959596,0.06660712387028177,1.2655353535353533,106.26424974823766,308.0,61.712,99.0,0.0,1.0,0,0.0,1.0
3,rand_st_A,0.2,99,0.99,19.0,558.6441142857144,0.06576584317937702,1.2495510204081632,104.63181539718195,214.0,62.544,98.0,0.0,1.0,0,0.0,1.0
4,rand_st_A,0.2,100,1.0,20.0,559.7701131313132,0.06328686868686868,1.2657373737373736,148.6965113934261,304.0,63.692,99.0,0.0,1.0,0,0.0,1.0
5,rand_st_A,0.2,97,0.97,19.0,558.6465916666667,0.06543859649122807,1.2433333333333334,115.79953771800798,212.0,60.64,96.0,0.0,1.0,0,0.0,1.0
6,rand_st_A,0.2,100,1.0,19.0,560.7615111111112,0.06767889420521,1.2858989898989899,100.8861772354471,211.0,62.696,99.0,0.0,1.0,0,0.0,1.0
7,rand_st_A,0.2,100,1.0,18.0,556.8934343434344,0.06768350168350169,1.2183030303030304,93.9586038961039,216.0,64.388,99.0,0.0,1.0,0,0.0,1.0
8,rand_st_A,0.2,100,1.0,23.0,556.6215151515152,0.052600790513833984,1.209818181818182,72.41042213694203,205.0,63.228,99.0,0.0,1.0,0,0.0,1.0
9,rand_st_A,0.2,100,1.0,21.0,557.077494949495,0.05822414622414623,1.2227070707070706,90.76049129989765,213.0,64.952,99.0,0.0,1.0,0,0.0,1.0
10,rand_st_A,0.2,100,1.0,20.0,561.033705050505,0.06435959595959596,1.2871919191919192,119.23559356546528,312.0,63.568,99.0,0.0,1.0,0,0.0,1.0
11,rand_st_A,0.2,100,1.0,21.0,559.0482909090907,0.05997498797498797,1.2594747474747474,101.16707317073171,303.0,63.312,99.0,0.0,1.0,0,0.0,1.0
12,rand_st_A,0.2,100,1.0,19.0,558.9388929292929,0.06585858585858585,1.2513131313131312,105.6999002991027,302.0,63.12,99.0,0.0,1.0,0,0.0,1.0
13,rand_st_A,0.2,100,1.0,17.0,558.8445454545455,0.0732620320855615,1.2454545454545456,116.8581589107905,210.0,62.7,99.0,0.0,1.0,0,0.0,1.0
14,rand_st_A,0.2,100,1.0,21.0,558.4923797979799,0.05963636363636364,1.2523636363636363,85.55633240111865,208.0,64.016,99.0,0.0,1.0,0,0.0,1.0
15,rand_st_A,0.2,100,1.0,16.0,559.3062505050506,0.07828030303030303,1.2524848484848485,93.2830824088748,208.0,62.004,99.0,0.0,1.0,0,0.0,1.0
16,rand_st_A,0.2,82,0.82,20.0,560.2102567901235,0.0641753086419753,1.283506172839506,126.59436549488906,219.0,52.036,81.0,0.0,1.0,0,0.0,1.0
17,rand_st_A,0.2,97,0.97,22.0,559.7135583333334,0.057337121212121214,1.2614166666666669,99.45638432364096,206.0,59.904,96.0,0.0,1.0,0,0.0,1.0
18,rand_st_A,0.2,100,1.0,16.0,558.4282868686869,0.07769949494949495,1.2431919191919192,108.21509740259741,209.0,62.924,99.0,0.0,1.0,0,0.0,1.0
19,rand_st_A,0.2,100,1.0,18.0,559.8024161616161,0.07049158249158251,1.268848484848485,121.65513126491646,208.0,62.384,99.0,0.0,1.0,0,0.0,1.0
20,rand_st_A,0.2,100,1.0,18.0,560.2806909090909,0.07081257014590349,1.2746262626262628,91.16693613581245,215.0,62.812,99.0,0.0,1.0,0,0.0,1.0
21,rand_st_A,0.2,100,1.0,18.0,561.4706060606062,0.07189001122334455,1.2940202020202018,143.96366572466692,208.0,62.892,99.0,0.0,1.0,0,0.0,1.0
22,rand_st_A,0.2,97,0.97,17.0,558.9815625,0.07428676470588234,1.262875,105.39699343637518,211.0,62.764,96.0,0.0,1.0,0,0.0,1.0
23,rand_st_A,0.2,97,0.97,17.0,562.8142,0.07736274509803921,1.3151666666666668,113.80993969640258,210.0,59.744,96.0,0.0,1.0,0,0.0,1.0
