policy,p1,p2,f0,seeds,delay
bsps,1.0,0.0,10,1,1
baps,1.0,0.0,10,1,11
dbaps,1.0,0.0,10,1,5
ewma,1.0,0.0,10,1,2
lt,1.0,0.0,10,1,7
baps,0.8,0.1,10,400,8.315
bsps,1.0,0.0,20,1,1
baps,1.0,0.0,20,1,21
dbaps,1.0,0.0,20,1,6
ewma,1.0,0.0,20,1,2
lt,1.0,0.0,20,1,14
baps,0.8,0.1,20,400,15.095
bsps,1.0,0.0,30,1,1
baps,1.0,0.0,30,1,31
dbaps,1.0,0.0,30,1,7
ewma,1.0,0.0,30,1,2
lt,1.0,0.0,30,1,21
baps,0.8,0.1,30,400,21.115
bsps,1.0,0.0,40,1,1
baps,1.0,0.0,40,1,41
dbaps,1.0,0.0,40,1,7
ewma,1.0,0.0,40,1,2
lt,1.0,0.0,40,1,27
baps,0.8,0.1,40,400,28.88
bsps,1.0,0.0,50,1,1
baps,1.0,0.0,50,1,51
dbaps,1.0,0.0,50,1,7
ewma,1.0,0.0,50,1,2
lt,1.0,0.0,50,1,34
baps,0.8,0.1,50,400,34.41
bsps,1.0,0.0,60,1,1
baps,1.0,0.0,60,1,61
dbaps,1.0,0.0,60,1,7
ewma,1.0,0.0,60,1,2
lt,1.0,0.0,60,1,41
baps,0.8,0.1,60,400,40.9
bsps,1.0,0.0,70,1,1
baps,1.0,0.0,70,1,71
dbaps,1.0,0.0,70,1,7
ewma,1.0,0.0,70,1,2
lt,1.0,0.0,70,1,47
baps,0.8,0.1,70,400,48.4
bsps,1.0,0.0,80,1,1
baps,1.0,0.0,80,1,81
dbaps,1.0,0.0,80,1,7
ewma,1.0,0.0,80,1,2
lt,1.0,0.0,80,1,54
baps,0.8,0.1,80,400,54.19
bsps,1.0,0.0,90,1,1
baps,1.0,0.0,90,1,91
dbaps,1.0,0.0,90,1,7
ewma,1.0,0.0,90,1,2
lt,1.0,0.0,90,1,61
baps,0.8,0.1,90,400,59.78
bsps,1.0,0.0,100,1,1
baps,1.0,0.0,100,1,101
dbaps,1.0,0.0,100,1,7
ewma,1.0,0.0,100,1,2
lt,1.0,0.0,100,1,67
baps,0.8,0.1,100,400,67.765
bsps,1.0,0.0,110,1,1
baps,1.0,0.0,110,1,111
dbaps,1.0,0.0,110,1,7
ewma,1.0,0.0,110,1,2
lt,1.0,0.0,110,1,74
baps,0.8,0.1,110,400,72.34
bsps,1.0,0.0,120,1,1
baps,1.0,0.0,120,1,121
dbaps,1.0,0.0,120,1,7
ewma,1.0,0.0,120,1,2
lt,1.0,0.0,120,1,81
baps,0.8,0.1,120,400,83.7
bsps,1.0,0.0,130,1,1
baps,1.0,0.0,130,1,131
dbaps,1.0,0.0,130,1,7
ewma,1.0,0.0,130,1,2
lt,1.0,0.0,130,1,87
baps,0.8,0.1,130,400,84.95
bsps,1.0,0.0,140,1,1
baps,1.0,0.0,140,1,141
dbaps,1.0,0.0,140,1,7
ewma,1.0,0.0,140,1,2
lt,1.0,0.0,140,1,94
baps,0.8,0.1,140,400,89.485
bsps,1.0,0.0,150,1,1
baps,1.0,0.0,150,1,151
dbaps,1.0,0.0,150,1,7
ewma,1.0,0.0,150,1,2
lt,1.0,0.0,150,1,101
baps,0.8,0.1,150,400,102.165
bsps,1.0,0.0,160,1,1
baps,1.0,0.0,160,1,161
dbaps,1.0,0.0,160,1,7
ewma,1.0,0.0,160,1,2
lt,1.0,0.0,160,1,107
baps,0.8,0.1,160,400,104.925
bsps,1.0,0.0,170,1,1
baps,1.0,0.0,170,1,171
dbaps,1.0,0.0,170,1,7
ewma,1.0,0.0,170,1,2
lt,1.0,0.0,170,1,114
baps,0.8,0.1,170,400,108.725
bsps,1.0,0.0,180,1,1
baps,1.0,0.0,180,1,181
dbaps,1.0,0.0,180,1,7
ewma,1.0,0.0,180,1,2
lt,1.0,0.0,180,1,121
baps,0.8,0.1,180,400,121.385
bsps,1.0,0.0,190,1,1
baps,1.0,0.0,190,1,191
dbaps,1.0,0.0,190,1,7
ewma,1.0,0.0,190,1,2
lt,1.0,0.0,190,1,127
baps,0.8,0.1,190,400,125.99
bsps,1.0,0.0,200,1,1
baps,1.0,0.0,200,1,201
dbaps,1.0,0.0,200,1,7
ewma,1.0,0.0,200,1,2
lt,1.0,0.0,200,1,134
baps,0.8,0.1,200,400,129.4
