net,k,p,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,2,0.0,9.5,509.5255102040817,0.023899033297529536,0.4540816326530611,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
1,2,0.0,9.0,509.7626262626264,0.0255331088664422,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
2,2,0.0,10.0,509.11111111111114,0.022222222222222223,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
3,2,0.0,9.0,509.0867346938776,0.02465986394557823,0.4438775510204082,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
4,2,0.0,9.5,509.54545454545456,0.02392344497607656,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
5,2,0.0,9.5,508.8125000000001,0.02302631578947368,0.4375,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
6,2,0.0,10.5,509.7626262626264,0.02188552188552189,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
7,2,0.0,9.0,508.6767676767678,0.02413019079685746,0.4343434343434343,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
8,2,0.0,11.0,508.2424242424242,0.019283746556473826,0.4242424242424242,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
9,2,0.0,10.5,508.89393939393943,0.020923520923520917,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
10,2,0.0,11.0,509.97979797979815,0.021120293847566578,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
11,2,0.0,11.0,509.32828282828285,0.020431588613406795,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
12,2,0.0,9.5,509.11111111111126,0.02339181286549707,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
13,2,0.0,9.0,508.89393939393943,0.024410774410774414,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
14,2,0.0,9.0,509.32828282828285,0.024971941638608306,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
15,2,0.0,9.0,508.89393939393943,0.024410774410774414,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
16,2,0.0,10.0,509.9074074074074,0.023148148148148147,0.46296296296296285,nan,nan,40.5,40.5,0.5,nan,0,nan,nan
17,2,0.0,10.0,509.0364583333334,0.022135416666666664,0.44270833333333337,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
18,2,0.0,10.0,508.89393939393943,0.02196969696969697,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
19,2,0.0,9.5,509.32828282828285,0.02365762892078682,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
20,2,0.0,9.0,509.54545454545456,0.025252525252525252,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
21,2,0.0,9.0,509.97979797979804,0.025813692480359144,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
22,2,0.0,8.5,509.7083333333334,0.0269607843137255,0.4583333333333333,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
23,2,0.0,9.5,510.15625,0.024671052631578948,0.46875,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
24,2,0.0,9.0,509.97979797979804,0.025813692480359144,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
25,2,0.0,9.0,509.0867346938776,0.02465986394557823,0.4438775510204082,nan,nan,49.0,49.0,0.5,nan,0,nan,nan
26,2,0.0,10.0,509.32828282828285,0.022474747474747477,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
27,2,0.0,9.5,508.89393939393943,0.023125996810207335,0.4393939393939394,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
28,2,0.0,9.0,508.67676767676767,0.02413019079685746,0.4343434343434343,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
29,2,0.0,9.0,509.54545454545456,0.025252525252525252,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
30,2,0.0,9.5,510.7989130434782,0.02545766590389015,0.483695652173913,nan,nan,46.0,46.0,0.5,nan,0,nan,nan
31,2,0.0,8.5,509.54545454545456,0.0267379679144385,0.45454545454545453,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
32,2,0.0,10.0,509.32828282828285,0.022474747474747477,0.44949494949494956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
33,2,0.0,9.5,509.97979797979804,0.02445507708665604,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
34,2,0.0,9.0,509.7626262626264,0.0255331088664422,0.45959595959595956,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
35,2,0.0,12.0,507.3737373737374,0.016835016835016838,0.40404040404040403,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
36,2,0.0,10.5,508.8125000000001,0.02083333333333333,0.4375,nan,nan,48.0,48.0,0.5,nan,0,nan,nan
37,2,0.0,10.5,509.91578947368413,0.02205513784461153,0.4631578947368421,nan,nan,47.5,47.5,0.5,nan,0,nan,nan
38,2,0.0,8.5,509.97979797979815,0.0273321449792038,0.4646464646464646,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
39,2,0.0,9.5,509.11111111111114,0.02339181286549707,0.4444444444444446,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
40,2,0.0,9.0,510.1969696969697,0.026094276094276097,0.4696969696969697,nan,nan,49.5,49.5,0.5,nan,0,nan,nan
