net,round,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,30,rand_st,19.0,216.35161632653057,0.06647905477980666,1.2631020408163263,39.054174247018395,72.0,63.216,98.0,0.0,1.0,0,0.0,1.0
1,30,rand_st,15.0,219.14866262626262,0.0865131313131313,1.2976969696969698,43.20218466611706,94.0,61.528,99.0,0.0,1.0,0,0.0,1.0
2,30,rand_st,17.0,217.10347474747473,0.07442899584076056,1.2652929292929294,38.779456193353475,76.0,61.736,99.0,0.0,1.0,0,0.0,1.0
3,30,rand_st,16.0,215.59397959183676,0.07806377551020409,1.2490204081632654,38.397590361445786,72.0,62.596,98.0,0.0,1.0,0,0.0,1.0
4,30,rand_st,16.0,216.75215353535356,0.07909595959595958,1.2655353535353533,50.72615446662633,101.0,63.712,99.0,0.0,1.0,0,0.0,1.0
5,30,rand_st,17.0,215.66780833333334,0.07315196078431371,1.2435833333333333,39.78777054002942,71.0,60.616,96.0,0.0,1.0,0,0.0,1.0
6,30,rand_st,19.0,217.74027878787876,0.06766400850611377,1.2856161616161617,41.70634126825365,78.0,62.724,99.0,0.0,1.0,0,0.0,1.0
7,30,rand_st,15.0,213.8558787878788,0.08119057239057238,1.217858585858586,33.08482142857143,73.0,64.432,99.0,0.0,1.0,0,0.0,1.0
8,30,rand_st,21.0,213.56404444444442,0.057579605579605585,1.2091717171717173,27.45526156332054,51.0,63.292,99.0,0.0,1.0,0,0.0,1.0
9,30,rand_st,18.0,214.0308,0.06789898989898989,1.2221818181818183,30.416581371545547,70.0,65.004,99.0,0.0,1.0,0,0.0,1.0
10,30,rand_st,17.0,218.10554343434342,0.07576470588235293,1.288,38.249643657096314,72.0,63.488,99.0,0.0,1.0,0,0.0,1.0
11,30,rand_st,19.0,216.1279919191919,0.06634343434343436,1.2605252525252526,38.52621951219512,92.0,63.208,99.0,0.0,1.0,0,0.0,1.0
12,30,rand_st,18.0,215.9803797979798,0.06954882154882155,1.251878787878788,36.82372881355932,92.0,63.064,99.0,0.0,1.0,0,0.0,1.0
13,30,rand_st,15.0,215.78446060606063,0.0829845117845118,1.2447676767676767,44.397683397683394,98.0,62.768,99.0,0.0,1.0,0,0.0,1.0
14,30,rand_st,17.0,215.54266666666666,0.07370172311348781,1.2529292929292928,31.320615261685976,63.0,63.96,99.0,0.0,1.0,0,0.0,1.0
15,30,rand_st,15.0,216.11749494949495,0.08335084175084176,1.2502626262626264,36.14263074484945,74.0,62.224,99.0,0.0,1.0,0,0.0,1.0
16,30,rand_st,16.0,217.24737777777776,0.08024691358024691,1.2839506172839505,38.17003241087011,73.0,52.0,81.0,0.0,1.0,0,0.0,1.0
17,30,rand_st,20.0,216.73948750000002,0.06308541666666667,1.2617083333333334,38.6323219553308,93.0,59.876,96.0,0.0,1.0,0,0.0,1.0
18,30,rand_st,14.0,215.46911515151515,0.08883694083694084,1.2437171717171718,37.17958603896104,73.0,62.872,99.0,0.0,1.0,0,0.0,1.0
19,30,rand_st,16.0,216.88373333333334,0.07936363636363636,1.2698181818181817,37.78838504375497,68.0,62.288,99.0,0.0,1.0,0,0.0,1.0
20,30,rand_st,16.0,217.29701414141414,0.07967424242424243,1.2747878787878788,34.16794664510913,72.0,62.796,99.0,0.0,1.0,0,0.0,1.0
21,30,rand_st,15.0,218.4634222222222,0.08626262626262628,1.293939393939394,49.75393621316108,97.0,62.9,99.0,0.0,1.0,0,0.0,1.0
22,30,rand_st,15.0,216.0542875,0.08424166666666667,1.263625,34.12492060131272,70.0,62.692,96.0,0.0,1.0,0,0.0,1.0
23,30,rand_st,14.0,219.90680416666666,0.09401488095238096,1.3162083333333334,34.33790808899979,69.0,59.644,96.0,0.0,1.0,0,0.0,1.0
24,30,rand_st,15.0,217.24153939393938,0.08561616161616162,1.2842424242424242,36.68818071803146,91.0,63.86,99.0,0.0,1.0,0,0.0,1.0
25,30,rand_st,14.0,214.85223673469386,0.08853644314868805,1.2395102040816328,32.14148980441115,67.0,63.528,98.0,0.0,1.0,0,0.0,1.0
26,30,rand_st,18.0,215.6055111111111,0.06980471380471381,1.2564848484848485,34.521274409044196,71.0,63.608,99.0,0.0,1.0,0,0.0,1.0
27,30,rand_st,16.0,216.53794747474748,0.07838888888888888,1.2542222222222221,34.43465909090909,66.0,61.832,99.0,0.0,1.0,0,0.0,1.0
28,30,rand_st,16.0,214.2650626262626,0.07653787878787878,1.2246060606060605,35.131472491909385,76.0,63.764,99.0,0.0,1.0,0,0.0,1.0
29,30,rand_st,14.0,216.88985858585855,0.09102453102453104,1.2743434343434343,37.60282258064516,66.0,62.84,99.0,0.0,1.0,0,0.0,1.0
30,30,rand_st,19.0,218.77997391304348,0.06924942791762012,1.3157391304347825,37.14905090595341,75.0,59.952,92.0,0.0,1.0,0,0.0,1.0
31,30,rand_st,16.0,216.83351919191918,0.07941919191919193,1.270707070707071,39.0444847020934,94.0,63.2,99.0,0.0,1.0,0,0.0,1.0
32,30,rand_st,19.0,216.78758787878786,0.0667304625199362,1.267878787878788,30.632338208775796,70.0,62.48,99.0,0.0,1.0,0,0.0,1.0
33,30,rand_st,14.0,219.52500606060605,0.0936998556998557,1.3117979797979797,49.88496302382909,94.0,61.132,99.0,0.0,1.0,0,0.0,1.0
34,30,rand_st,15.0,217.96814545454544,0.08585589225589225,1.2878383838383838,34.88272963778267,67.0,62.504,99.0,0.0,1.0,0,0.0,1.0
35,30,rand_st,22.0,211.5605616161616,0.053261707988980715,1.171757575757576,26.82627972591697,65.0,62.996,99.0,0.0,1.0,0,0.0,1.0
36,30,rand_st,17.0,213.46411666666663,0.07167647058823529,1.2185,36.27693856998993,99.0,63.024,96.0,0.0,1.0,0,0.0,1.0
37,30,rand_st,15.0,219.42866526315788,0.08700070175438596,1.3050105263157894,48.34036773923945,92.0,59.024,95.0,0.0,1.0,0,0.0,1.0
38,30,rand_st,16.0,216.742,0.07981565656565655,1.2770505050505048,38.57008410092111,65.0,64.572,99.0,0.0,1.0,0,0.0,1.0
39,30,rand_st,15.0,216.0301131313131,0.08366599326599326,1.2549898989898989,36.33810195446303,72.0,62.756,99.0,0.0,1.0,0,0.0,1.0
40,30,rand_st,16.0,219.11874747474744,0.08162626262626263,1.306020202020202,46.27735163504239,95.0,62.704,99.0,0.0,1.0,0,0.0,1.0
41,30,rand_st,15.0,215.3646222222222,0.08356094276094277,1.2534141414141413,33.23045519493774,68.0,64.912,99.0,0.0,1.0,0,0.0,1.0
42,30,rand_st,15.0,216.84095353535352,0.08475690235690236,1.2713535353535352,46.481055055474144,93.0,64.136,99.0,0.0,1.0,0,0.0,1.0
43,30,rand_st,18.0,215.78204210526314,0.06972865497076024,1.2551157894736844,43.70743001473374,95.0,61.764,95.0,0.0,1.0,0,0.0,1.0
44,30,rand_st,16.0,214.8480686868687,0.07749242424242425,1.239878787878788,31.442404680250153,67.0,64.252,99.0,0.0,1.0,0,0.0,1.0
45,30,rand_st,15.0,218.86408484848485,0.08702222222222222,1.3053333333333332,40.6211909978092,69.0,62.772,99.0,0.0,1.0,0,0.0,1.0
46,30,rand_st,16.0,216.76838367346937,0.07972448979591837,1.275591836734694,30.065950273914876,62.0,62.992,98.0,0.0,1.0,0,0.0,1.0
47,30,rand_st,17.0,212.89903434343432,0.07021984551396317,1.1937373737373738,36.437665243034374,68.0,63.82,99.0,0.0,1.0,0,0.0,1.0
48,30,rand_st,18.0,213.65595918367347,0.06761451247165533,1.2170612244897958,32.26921470342523,64.0,63.728,98.0,0.0,1.0,0,0.0,1.0
49,30,rand_st,16.0,213.48084444444444,0.07591161616161617,1.2145858585858587,38.63602714373843,71.0,64.756,99.0,0.0,1.0,0,0.0,1.0
0,30,rand_dt,19.54,214.85642040816327,0.06377749661723882,1.2449387755102042,41.1502808988764,92.0,64.996,98.0,0.0,1.0,0,0.0,1.0
1,30,rand_dt,14.676,217.24905454545456,0.08712916255857434,1.2755151515151515,55.080605055946954,105.0,63.724,99.0,0.0,1.0,0,0.0,1.0
2,30,rand_dt,17.212,215.4568161616162,0.07257124029126094,1.2452525252525253,46.457848253713365,123.0,63.72,99.0,0.0,1.0,0,0.0,1.0
3,30,rand_dt,15.108,213.83103265306121,0.08136890327559596,1.2264897959183674,39.03005351996706,76.0,64.804,98.0,0.0,1.0,0,0.0,1.0
4,30,rand_dt,16.724,214.77717575757575,0.07443901432626923,1.242868686868687,46.439861139473145,101.0,65.956,99.0,0.0,1.0,0,0.0,1.0
5,30,rand_dt,16.812,213.65139999999997,0.07264647922399955,1.2189166666666664,38.93161157024793,92.0,62.984,96.0,0.0,1.0,0,0.0,1.0
6,30,rand_dt,19.08,216.28433131313133,0.06645709728867624,1.26779797979798,46.51394182547643,98.0,64.488,99.0,0.0,1.0,0,0.0,1.0
7,30,rand_dt,16.084,212.34802828282827,0.07473075856605269,1.1995555555555557,38.545144462279296,96.0,66.244,99.0,0.0,1.0,0,0.0,1.0
8,30,rand_dt,20.212,211.6743313131313,0.05876769802095369,1.1857373737373738,35.18364881192106,78.0,65.612,99.0,0.0,1.0,0,0.0,1.0
9,30,rand_dt,19.272,212.99297373737372,0.0629010298933744,1.2099797979797982,38.21703241393195,77.0,66.212,99.0,0.0,1.0,0,0.0,1.0
10,30,rand_dt,17.364,216.54231919191918,0.07319973731119242,1.2698989898989899,51.56936827137924,101.0,65.28,99.0,0.0,1.0,0,0.0,1.0
11,30,rand_dt,18.78,214.43776969696972,0.06613425621887954,1.2391919191919192,40.07955936352509,92.0,65.32,99.0,0.0,1.0,0,0.0,1.0
12,30,rand_dt,16.564,214.2667717171717,0.0745037467902277,1.231030303030303,41.53245456361095,99.0,65.128,99.0,0.0,1.0,0,0.0,1.0
13,30,rand_dt,15.976,213.80361212121213,0.07652836865385884,1.220121212121212,47.58512363194163,101.0,65.208,99.0,0.0,1.0,0,0.0,1.0
14,30,rand_dt,15.868,214.37734545454546,0.07815559516735987,1.2384242424242422,38.324254473161034,75.0,65.396,99.0,0.0,1.0,0,0.0,1.0
15,30,rand_dt,14.244,214.9844404040404,0.08703375698375697,1.2357575757575758,38.47834645669291,75.0,63.66,99.0,0.0,1.0,0,0.0,1.0
16,30,rand_dt,16.504,216.05338271604938,0.07696979513052785,1.2688395061728395,44.049306243805745,97.0,53.224,81.0,0.0,1.0,0,0.0,1.0
17,30,rand_dt,18.468,214.55704999999998,0.06693958333333333,1.2350833333333333,39.23341156390015,93.0,62.432,96.0,0.0,1.0,0,0.0,1.0
18,30,rand_dt,14.512,213.45128888888888,0.08409723870900342,1.218181818181818,40.937396694214875,92.0,65.4,99.0,0.0,1.0,0,0.0,1.0
19,30,rand_dt,15.62,214.56979393939395,0.07967021428099857,1.2412929292929293,39.38741654865466,91.0,65.112,99.0,0.0,1.0,0,0.0,1.0
20,30,rand_dt,16.256,215.71892121212122,0.07727954380405362,1.2554747474747476,47.23118932038835,99.0,64.708,99.0,0.0,1.0,0,0.0,1.0
21,30,rand_dt,15.068,216.8582909090909,0.08461717171717172,1.2747070707070707,57.65466316002428,122.0,64.804,99.0,0.0,1.0,0,0.0,1.0
22,30,rand_dt,14.884,215.4277875,0.08457466882586369,1.255625,42.230593607305934,92.0,63.46,96.0,0.0,1.0,0,0.0,1.0
23,30,rand_dt,14.272,217.96550833333333,0.09079076999389499,1.2925,52.5552096305521,100.14999999999964,61.92,96.0,0.0,1.0,0,0.0,1.0
24,30,rand_dt,15.804,215.91096969696966,0.08037018099814798,1.2677575757575759,41.120818974255016,95.0,65.492,99.0,0.0,1.0,0,0.0,1.0
25,30,rand_dt,15.264,213.47309387755104,0.08032447924224635,1.2222857142857142,37.73258473695155,75.0,65.216,98.0,0.0,1.0,0,0.0,1.0
26,30,rand_dt,17.556,214.36884848484846,0.07073296223327184,1.2402424242424241,37.059186189889026,75.0,65.216,99.0,0.0,1.0,0,0.0,1.0
27,30,rand_dt,16.16,214.8951393939394,0.07638609955766819,1.2338181818181817,43.47501517297188,98.0,63.852,99.0,0.0,1.0,0,0.0,1.0
28,30,rand_dt,15.052,213.16359595959597,0.08058685029567382,1.209939393939394,38.93998799759952,91.0,65.216,99.0,0.0,1.0,0,0.0,1.0
29,30,rand_dt,14.548,215.9401898989899,0.08688466903466903,1.261131313131313,37.76799679165831,73.0,64.148,99.0,0.0,1.0,0,0.0,1.0
30,30,rand_dt,19.076,217.09321304347827,0.0679525171624714,1.2960434782608694,43.52785087719298,97.0,61.764,92.0,0.0,1.0,0,0.0,1.0
31,30,rand_dt,14.668,215.00854141414143,0.08526616161616161,1.2484848484848485,42.47596836341513,97.0,65.4,99.0,0.0,1.0,0,0.0,1.0
32,30,rand_dt,18.728,214.5098868686869,0.06626503632819421,1.2397171717171716,40.1743212900592,77.0,65.268,99.0,0.0,1.0,0,0.0,1.0
33,30,rand_dt,14.492,217.5545535353535,0.08894831225419461,1.2869494949494948,49.030111902339776,96.0,63.592,99.0,0.0,1.0,0,0.0,1.0
34,30,rand_dt,14.932,216.21011717171717,0.08501944185081439,1.2664242424242425,43.86348949919225,94.0,64.624,99.0,0.0,1.0,0,0.0,1.0
35,30,rand_dt,21.076,210.18371313131314,0.054823660350621035,1.1533333333333335,32.50281237444757,77.0,64.82,99.0,0.0,1.0,0,0.0,1.0
36,30,rand_dt,16.38,211.72222916666666,0.07316552627995643,1.197375,40.614896664620424,93.0,65.052,96.0,0.0,1.0,0,0.0,1.0
37,30,rand_dt,17.112,217.95477473684207,0.07543332753969546,1.2877894736842104,47.28968834971763,100.0,60.66,95.0,0.0,1.0,0,0.0,1.0
38,30,rand_dt,15.892,215.9186303030303,0.07988480557206047,1.266787878787879,41.10583501006036,94.0,65.588,99.0,0.0,1.0,0,0.0,1.0
39,30,rand_dt,15.28,213.98664646464647,0.08067611832611833,1.2301010101010101,37.00533005330053,75.0,65.22,99.0,0.0,1.0,0,0.0,1.0
40,30,rand_dt,16.02,217.92866262626265,0.08080276361829511,1.2915555555555553,50.94932432432432,98.0,64.136,99.0,0.0,1.0,0,0.0,1.0
41,30,rand_dt,15.624,214.16559595959592,0.07937419621047072,1.2381010101010101,41.71215526046987,92.0,66.428,99.0,0.0,1.0,0,0.0,1.0
42,30,rand_dt,15.816,215.8700363636364,0.07982513180356318,1.2597171717171716,45.25503080082135,97.0,65.288,99.0,0.0,1.0,0,0.0,1.0
43,30,rand_dt,17.708,214.72715368421052,0.07019922510093604,1.241221052631579,48.54597096570587,99.0,63.084,95.0,0.0,1.0,0,0.0,1.0
44,30,rand_dt,16.764,213.45829090909092,0.073082261382313,1.2221010101010101,37.71728068389986,75.0,66.012,99.0,0.0,1.0,0,0.0,1.0
45,30,rand_dt,15.184,216.91281212121214,0.08450589225589226,1.282141414141414,45.2639314145744,98.0,65.068,99.0,0.0,1.0,0,0.0,1.0
46,30,rand_dt,16.096,214.81493877551017,0.07798750457576514,1.2519183673469387,40.773995771670194,95.0,65.312,98.0,0.0,1.0,0,0.0,1.0
47,30,rand_dt,17.28,211.07920404040405,0.06789137070741819,1.1711111111111112,41.971440064360415,95.0,66.06,99.0,0.0,1.0,0,0.0,1.0
48,30,rand_dt,16.452,212.62185306122447,0.07337540269240528,1.203673469387755,36.05913648455085,75.0,65.04,98.0,0.0,1.0,0,0.0,1.0
49,30,rand_dt,16.384,211.9832484848485,0.07310270298443673,1.1952323232323234,38.60208986415883,76.0,66.672,99.0,0.0,1.0,0,0.0,1.0
0,30,static,19.0,216.26156734693876,0.06642749731471537,1.262122448979592,15.072281838428832,19.0,63.312,98.0,0.0,1.0,0,0.0,1.0
1,30,static,18.0,219.37850505050505,0.07222446689113356,1.300040404040404,16.36063544460491,18.0,61.296,99.0,0.0,1.0,0,0.0,1.0
2,30,static,20.0,217.15605656565657,0.0632969696969697,1.265939393939394,17.008074283407346,20.0,61.672,99.0,0.0,1.0,0,0.0,1.0
3,30,static,18.0,215.65066530612245,0.06940816326530613,1.24934693877551,14.55922131147541,18.0,62.564,98.0,0.0,1.0,0,0.0,1.0
4,30,static,19.0,216.7547474747475,0.06660287081339714,1.2654545454545454,16.00161322847348,19.0,63.72,99.0,0.0,1.0,0,0.0,1.0
5,30,static,19.0,215.66039999999998,0.06544736842105263,1.2435,14.351305812973884,19.0,60.624,96.0,0.0,1.0,0,0.0,1.0
6,30,static,21.0,217.81503030303028,0.06125252525252525,1.2863030303030305,17.35621372823694,21.0,62.656,99.0,0.0,1.0,0,0.0,1.0
7,30,static,18.0,213.72988282828283,0.06759595959595958,1.2167272727272724,15.331375329147255,18.0,64.544,99.0,0.0,1.0,0,0.0,1.0
8,30,static,22.0,212.9249414141414,0.05461707988980716,1.2015757575757575,18.1963850528026,22.0,64.044,99.0,0.0,1.0,0,0.0,1.0
9,30,static,21.0,214.05137373737372,0.05821067821067821,1.2224242424242424,17.87131751227496,21.0,64.98,99.0,0.0,1.0,0,0.0,1.0
10,30,static,22.0,218.24758383838383,0.05861707988980717,1.2895757575757576,17.199310624493105,22.0,63.332,99.0,0.0,1.0,0,0.0,1.0
11,30,static,22.0,216.2178101010101,0.05734802571166207,1.2616565656565657,17.83272431993504,22.0,63.096,99.0,0.0,1.0,0,0.0,1.0
12,30,static,19.0,216.20864646464648,0.0660287081339713,1.2545454545454544,16.170450019912387,19.0,62.8,99.0,0.0,1.0,0,0.0,1.0
13,30,static,18.0,215.56078383838383,0.06901459034792368,1.2422626262626264,14.576212705500305,18.0,63.016,99.0,0.0,1.0,0,0.0,1.0
