net,n,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,25,rand_st,0.2,1.0,25,7,3,11,10.0,550.34585,0.11231666666666668,1.1231666666666664,37.344637223974765,107.89999999999918,16.044,24.0,0.0,1.0,0,0.0,1.0
1,25,rand_st,0.2,1.0,25,7,3,11,9.0,547.75145,0.12146296296296297,1.0931666666666666,38.77510040160642,105.0,16.764,24.0,0.0,1.0,0,0.0,1.0
2,25,rand_st,0.2,1.0,25,8,3,11,10.0,539.9927,0.09436666666666667,0.9436666666666667,31.56707818930041,105.0,17.352,24.0,0.0,1.0,0,0.0,1.0
3,25,rand_st,0.2,1.0,25,8,3,13,10.0,542.6510666666668,0.09783333333333334,0.9783333333333333,30.82236842105263,106.0,16.52,24.0,0.0,1.0,0,0.0,1.0
4,25,rand_st,0.2,1.0,25,8,2,12,12.0,539.0272333333334,0.07788888888888888,0.9346666666666668,29.18843120070114,107.0,17.568,24.0,0.0,1.0,0,0.0,1.0
5,25,rand_st,0.2,1.0,25,8,3,14,13.0,541.0140666666666,0.07364102564102563,0.9573333333333334,63.44578313253012,105.0,17.024,24.0,0.0,1.0,0,0.0,1.0
6,25,rand_st,0.2,0.96,24,10,3,13,13.0,534.2809913043478,0.06390635451505017,0.8307826086956521,39.60373998219056,103.69999999999959,16.892,23.0,0.0,1.0,0,0.0,1.0
7,25,rand_st,0.2,1.0,25,11,3,14,12.0,534.689,0.06891666666666667,0.827,36.33809924306139,107.0,17.152,24.0,0.0,1.0,0,0.0,1.0
8,25,rand_st,0.2,1.0,25,9,3,14,14.0,537.625,0.06416666666666668,0.8983333333333332,51.521630615640596,103.0,17.44,24.0,0.0,1.0,0,0.0,1.0
9,25,rand_st,0.2,1.0,25,11,3,14,14.0,533.9169666666667,0.058357142857142864,0.817,50.145967741935486,105.0,17.392,24.0,0.0,1.0,0,0.0,1.0
10,25,rand_st,0.2,1.0,25,11,3,13,11.0,534.1611166666667,0.07471212121212122,0.8218333333333333,22.54582651391162,106.0,17.276,24.0,0.0,1.0,0,0.0,1.0
11,25,rand_st,0.2,1.0,25,7,4,10,9.0,552.8504333333334,0.12966666666666668,1.167,39.36625514403292,108.0,15.992,24.0,0.0,1.0,0,0.0,1.0
