scheme,frame_len,latency,latency_p95,delayed,energy_uC,pdr,networks
rand_st_A,19.06,109.21903030985357,229.56,0.0,559.3065499191304,1.0,50
rand_st,16.46,106.61897387844704,236.52,0.0,559.3132612393688,1.0,50
static,19.06,15.971428393603842,19.06,0.0,559.3308298787703,1.0,50
bsps,15.118,42.59090579146441,115.085,0.3013435206679134,545.1794937485299,1.0,50
oracle,10.387360000000001,8.302524721849315,11.58,0.0,533.6013804367377,1.0,50
rand_dt,16.48896,120.91866527531901,284.683,0.0,557.7518357086168,1.0,50
baps,13.03008,57.53922729191361,118.92,0.4242223299864573,536.1849787051117,1.0,50
dbaps,13.38368,54.541061826866056,117.96,0.40744114827399563,538.1855595172259,1.0,50
lt,14.651200000000001,46.62385733153309,115.96,0.3407995454518909,542.6703727527196,1.0,50
ewma,14.7928,44.66528175108638,114.88,0.3250304177154226,544.1783057394409,1.0,50
csma,19.06,30.404009789959428,112.927,0.0,1492.590935294392,0.8611093321490554,50
